schoolName,value
國立臺灣大學,7192855387
國立成功大學,4050118553
國立清華大學,2405210690
國立交通大學,2358222592
財團法人私立淡江大學,2147301409
國立臺灣師範大學,2099796091
國立中興大學,1897445528
國立中央大學,1825419749
國立政治大學,1818811101
國立臺灣科技大學,1509258743
國立中山大學,1481574963
國立臺北科技大學,1388771789
國立陽明大學,1299493015
國立東華大學,1227363616
國立嘉義大學,1220434877
國立雲林科技大學,1157412907
國立中正大學,1138220530
國立高雄應用科技大學,1077733963
國立屏東科技大學,1016378321
國立臺灣海洋大學,954198381
國立臺中科技大學,857640398
國立虎尾科技大學,827982707
國立臺北大學,815813954
國立彰化師範大學,777690724
國立臺灣大學醫學院附設醫院,764861000
國立高雄第一科技大學,746701182
國立勤益科技大學,723571219
國立臺北教育大學,702489256
國立高雄師範大學,694905138
國立臺中教育大學,647263875
國立臺南大學,634774272
國立暨南國際大學,632324793
國立宜蘭大學(102年1月1日起使用),593212645
國立新竹教育大學,580933501
國立高雄海洋科技大學,576636008
國立聯合大學,568283115
國立臺東大學,559157406
南臺科技大學,512905141
世新大學,496742499
國立臺北藝術大學,491615876
國立臺灣藝術大學,488685934
逢甲大學,486367965
國立高雄大學,466189950
國立臺灣戲曲學院,434417593
崑山科技大學,431557019
正修科技大學,421676595
"國立高雄餐旅大學(原國立高雄餐旅學院,99.8.1改大)",381353164
淡江大學,367201127
中原大學,355429639
嘉南藥理科技大學,351796061
國立臺東專科學校,343535755
國立臺南藝術大學,337893912
國立臺北護理健康大學(原國立臺北護理學院990801更名),334143074
國立臺灣體育運動大學,332877906
長庚大學,332651761
朝陽科技大學,324324275
輔仁大學,322410921
中國文化大學,321387635
銘傳大學,314475372
東海大學,306907401
中國醫藥大學,299676767
義守大學,299052137
遠東科技大學,298994806
國立體育大學,296180400
國立澎湖科技大學,295756757
國立成功大學醫學院附設醫院,291954000
東吳大學,283263117
弘光科技大學,282199027
國立屏東教育大學,281962194
靜宜大學,275522883
臺北醫學大學,268682435
樹德科技大學,266786309
龍華科技大學,261774937
元智大學,257516336
慈惠醫護管理專科學校,256419377
國立臺北商業大學,251094103
輔英科技大學,250760617
亞洲大學,249810433
國立臺北商業技術學院,249623080
台南應用科技大學(原台南科技大學991001更名),248937065
高雄醫學大學,246902783
大葉大學,243897442
實踐大學,237018343
樹人醫護管理專科學校,231674434
國立金門大學,228697374
國立空中大學,226851624
健行學校財團法人健行科技大學,226054028
建國科技大學,224262193
致理技術學院,221295662
高苑科技大學,216014591
中華醫事科技大學,214105500
城市學校財團法人臺北城市科技大學,213654509
南開科技大學,213639542
財團法人新生醫護管理專科學校,213470141
中國科技大學,212197777
文藻學校財團法人文藻外語大學,204025402
中臺科技大學,201823475
仁德醫護管理專科學校,201447417
明新科技大學,194830740
萬能學校財團法人萬能科技大學,193684305
長庚學校財團法人長庚科技大學,188900264
大仁科技大學,185502913
國立臺南護理專科學校,181226923
長榮大學,180383620
"美和科技大學(99.8.1更名,原美和技術學院)",179220726
財團法人耕莘健康管理專科學校,175929890
環球科技大學(原環球技術學院990803更名),175420039
嶺東科技大學,173322825
東南科技大學,172594864
財團法人明志科技大學,168794513
中華學校財團法人中華科技大學,166957400
德霖技術學院,166735395
慈濟學校財團法人慈濟大學,165625723
國立屏東大學(原國立屏東教育大學，自103年8月1日起適用),162584808
敏惠醫護管理專科學校,157438893
景文科技大學,157009422
廣亞學校財團法人育達科技大學,156921995
馬偕醫護管理專科學校,156756117
聖約翰科技大學,156638624
僑光科技大學,155960267
聖母醫護管理專科學校,155949058
醒吾學校財團法人醒吾科技大學,153071176
國立屏東商業技術學院,152678896
吳鳳學校財團法人吳鳳科技大學,151752468
德明財經科技大學,148062625
中華大學,144718419
南華大學,144666124
桃園創新技術學院（原南亞技術學院）,143630972
國立屏東教育大學(自103年8月1日起適用),142937000
華夏技術學院,142745811
台北海洋技術學院,142139750
慈濟學校財團法人慈濟技術學院,137828163
修平學校財團法人修平科技大學,132837192
東方設計學院(原東方技術學院),132066525
華梵大學,125949513
財團法人崇仁醫護管理專科學校,124185653
玄奘大學,124032901
大同大學,122949899
黎明技術學院,119488619
開南大學,117929070
財團法人真理大學,117247279
經國管理暨健康學院,116889028
明道學校財團法人明道大學,116208671
大華學校財團法人大華科技大學,115233416
中州學校財團法人中州科技大學,114660596
中山醫學大學,113524134
康寧醫護暨管理專科學校,107932380
和春技術學院,106378226
國立臺北護理健康大學,101714622
崇右技術學院,94988655
蘭陽技術學院,93411882
陽明大學附設醫院,93149000
佛光大學,91822993
國立高雄餐旅大學,91766629
